Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
Penny Dreadful,2014,18+,8.2,86,"Horror, Thriller",3,Multiple Streaming Platforms
Normal People,2020,16+,8.6,86,"Drama, Romance",1,Hulu
Scrubs,2001,16+,8.3,86,"Comedy, Drama",9,Multiple Streaming Platforms
The IT Crowd,2006,16+,8.5,86,"Comedy, 2006",5,Multiple Streaming Platforms
Once Upon a Time,2011,7+,7.7,86,"Drama, Fantasy",7,Netflix
Star Trek: The Next Generation,1987,7+,8.6,86,"Action & Adventure, Drama",7,Multiple Streaming Platforms
Broadchurch,2013,18+,8.4,86,"Crime, Drama",3,Netflix
Pride and Prejudice,1995,All Ages,8.8,86,"Drama, Romance",1,Multiple Streaming Platforms
Arrow,2012,16+,7.5,86,"Drama, Action & Adventure",8,Multiple Streaming Platforms
Chuck,2007,16+,8.2,86,"Action & Adventure, Comedy",5,Prime Video
24,2001,16+,8.3,86,"Action & Adventure, Drama",9,Hulu
What We Do in the Shadows,2019,18+,8.5,85,"Comedy, Fantasy",2,Hulu
The Night Of,2016,18+,8.5,85,"Drama, Crime",1,Multiple Streaming Platforms
Buffy the Vampire Slayer,1997,7+,8.2,85,"Action & Adventure, Comedy",7,Hulu
White Collar,2009,16+,8.2,85,"Action & Adventure, Crime",6,Multiple Streaming Platforms
Billions,2016,18+,8.4,85,"Drama, 2016",5,Multiple Streaming Platforms
The West Wing,1999,16+,8.8,85,"Drama, 1999",7,Netflix
"Love, Death & Robots",2019,18+,8.5,85,"Animation, Science-Fiction",1,Netflix
Legion,2017,16+,8.3,85,"Action & Adventure, Science-Fiction",3,Hulu
Ted Lasso,2020,18+,8.6,85,"Comedy, Drama",1,Apple TV+
Psych,2006,7+,8.3,85,"Comedy, Crime",8,Multiple Streaming Platforms
Marvel's Jessica Jones,2015,18+,7.9,85,"Action & Adventure, Crime",3,Netflix
Kingdom,2019,18+,8.4,85,"Action & Adventure, Drama",2,Netflix
The Twilight Zone,1959,7+,9,85,"Fantasy, Science-Fiction",5,Multiple Streaming Platforms
How to Get Away with Murder,2014,16+,8.1,85,"Drama, Thriller",6,Multiple Streaming Platforms
Schitt's Creek,2015,16+,8.4,85,"Comedy, 2015",6,Multiple Streaming Platforms
New Girl,2011,16+,7.7,85,"Comedy, 2011",7,Multiple Streaming Platforms
The Shield,2002,18+,8.7,85,"Crime, Drama",7,Hulu
Line of Duty,2012,18+,8.7,85,"Crime, Drama",5,Multiple Streaming Platforms
Bodyguard,2018,18+,8.1,85,"Thriller, Crime",1,Netflix
YOU,2018,18+,7.8,85,"Crime, Drama",2,Netflix
